,title,description
21064,Data Analyst Supporting the FBI with Security Clearance,"Eligible for 20% pay differential** Be a part of the nationwide law enforcement initiative that removes the tools of crime from criminal organizations, depriving wrongdoers of proceeds from their crime and impacting the infrastructure of criminal enterprises. EnProVera, owned and operated by government veterans with extensive backgrounds in Homeland Security, Law Enforcement, the Military, and the Intelligence Community has a vacancy for a Data Analyst. In this role, you will be supporting the overall mission of the Federal Bureau of Investigation (FBI). Responsibilities * Receives, gathers, analyzes, and organizes information from multiple sources.

 Ensures completeness of received information and reconciles inconsistencies. Accurately enters required data into one or more databases, documents, or spreadsheets. Establishes and maintains physical files. Keeps track of case file status in order to ensure compliance with established deadlines. Coordinates requests for additional information as needed. Selects relevant information from a variety of sources in order to prepare documents, reports, summaries, and replies to inquiries, ensuring accuracy and proper format of the information provided. Performs word processing relevant to case. Provides accurate and timely status updates. Performs other duties as assigned. Requirements NOTE: Candidates already possessing a Top Secret clearance preferred. Requirements * High School diploma or GED, Undergraduate degree preferred Ability to grasp and understand the organization and functions of the customer Meticulous data entry skills Excellent communication skills; oral and written Competence to review, interpret, and evaluate complex legal and non-legal documents Attention to detail and the ability to read and follow directions is extremely important Strong organizational and prioritization skills Experience with the Microsoft Office suite of applications (Excel, PowerPoint, Word) and other common software applications, to include databases, intermediate skills preferred Proven commitment and competence to provide excellent customer service; positive and flexible Ability to work in a team environment and maintain a professional dispositionThis position requires U.S. Citizenship and a 7 (or 10) year minimum background investigation ** NOTE: The 20% pay differential is dependent upon the customer's order for services and requires an Active Top-Secret security clearance. Agency Overview The mission of the Federal Bureau of Investigation (FBI) is to protect the American people and uphold the Constitution of the United States. FBI investigates a broad range of criminal violations, integrating the use of asset forfeiture into its overall strategy to eliminate targeted criminal enterprises. The FBI has successfully used asset forfeiture in White Collar Crime, Organized Crime, Drug, Violent Crime and Terrorism investigations. Benefits Overview At EnProVera, we recognize the diverse needs of our employees and strive to provide an excellent package to help meet those needs. Comprehensive benefits are offered with greater choice and flexibility to support your health, work-life balance, and professional growth. A package providing employee only coverage can be built around our basic plans at $0 employee cost for: Medical, Dental, Vision, Term Life Insurance, Accidental Death -amp; Dismemberment Insurance, Short-Term Disability, and Employee Assistance Program. EEO and Important Policy Statements: EnProVera is proud to be an Affirmative Action/ Equal Opportunity Employer. We recruit, employ, train, compensate, and promote qualified persons in all job titles without regard to age, ancestry, color, gender, HIV status, marital status, medical condition, national origin, physical or mental disability, race, religion, sex, sexual orientation (including gender expression and identity) veteran status, family leave status, and any protected group status as defined by applicable law. EnProVera is proud to maintain a drug-free workplace. Satisfactory completion of a post-offer drug screening is a condition of employment. As a supplier of services to federal government agencies, such as DEA, FBI, USCIS, USPIS, etc., we also adhere to agency standards with respect to prior drug usage."
21150,Senior Data Analyst/Assessor Level III with Security Clearance,"Overview: The CSIS Senior Data Analyst/Assessor Level III will support Diplomatic Security at the Department of State in the Office of the Chief Technology Officer (CTO). CTO is the primary IT group within the Bureau of Diplomatic Security, providing many web applications and other services used by Federal and local law enforcement officers worldwide. This position is contingent upon contract modification. Primary Responsibilities: * Integrate and test new technology for compliance with IT security standards. * Perform analysis to ensure security controls are consistently implemented throughout system development life cycle and continuous monitoring phase.

 Develop, document, and execute plans for monitoring, assessing, and verifying security controls across assigned T Directorate disparate information systems. Document security control implementation statements. * Work with cross functional teams across the Bureau to complete RMF steps 1 through 3, as required for RMF steps 4, 5 and, 6. * Provide recommendations, guidance, and corrective action for all non-compliant security controls. * Execution and knowledge of FISMA tasks that consist of system authorization/reauthorization, and system security categorization required for T Directorate disparate application systems. Conduct comprehensive self-assessments consisting of automated and manual security assessments of the management, operational, and technical security controls employed within or inherited by DS information systems to determine the overall effectiveness of the controls. Enter test results and artifacts into the bureau/department repository. * Support bureau review of assessment activities, reports, and conclusions. Develop and maintain all required Assessment documentation following NIST 800-53 requirement for Steps 1, 2, 3, 4 (remediation of independent assessment findings), 5 (Provide artifacts for Authorization Official Approval/Review Package), 6 (Continuous Monitoring actions) of the Risk Management Framework for all Bureau managed systems. Provide security expertise to ensure security controls are implemented and the resulting documentation and artifacts are current. Implement a NIST-compliant continuous monitoring process across all major information systems to provide periodic assurance to senior management on the security protections of major information systems. Travel to T Directorate disparate system locations in Blackstone, VA, as required. * Project manage all T Directorate disparate systems A&A activities to include updating schedules, milestones, and deliverables to include a risk and issues log. * Ensure SCANS and Audit Logging are being completed and meeting compliance for disparate systems. * Ensure all servers and workstations meet approved CTS configuration guideline requirements for compliance. * Oversee any T Directorate disparate asset retirement. * Complete updates in preparation for the Annual Control Assessments for T Directorate system portfolio each year. * Update all T Directorate systems to Rev 5. * Complete and Manage all Significant Impact Assessments for assigned portfolio. * Ensure the closure of all Plan of Action and Milestones for T Directorate system portfolio. * All other duties assigned.

Education and/or Experience: * A technical B.A. or B.S. degree from an accredited university. * A minimum of six years of experience in performing system and application certifications and accreditations.

 Advanced practical experience in managing all phases of systems A&A activities ranging from early concept development to system retirement. Demonstrated experience supporting Government Agencies, preferably DOS. * Demonstrated experience creating system continuous monitoring and contingency plans that identify critical mission and business functions and recovery processes and procedures. * Expert in the processes and documentation requirements for RMF methodologies.

Knowledge, Skills, and Abilities: REQUIRED: * Knowledge of network security architecture concepts, including topology, protocols, components, and principles. * Knowledge of NIST Rev 4 and 5 security controls. * Proficient or able to gain proficiency with a broad array of security software applications and tools.

 Organized with attention to detail. Willing to learn. PREFERRED: * Certified Information Systems Security Professional (CISSP) and/or a Certified Information Systems Auditor (CISA) Prior server, networking, or application administrative, engineering or system architect experience. Experience working in a matrix organizational structure. Previous experience using Xacta, Archangel, JIRA, and/or Service Now Some knowledge of SDLC, project manager principles, and ITIL. Knowledge of the FAM and FAH Policies

Security Clearance: SECRET Level Required * Must have a current United States Government SECRET Personnel Security Clearance or be able to successfully complete a U.S. government administered Investigation. * Must be a U.S. Citizen. * Must be able to maintain a U.S. Government SECRET clearance. TOP SECRET Clearance Level Preferred * Must have a current United States Government TOP SECRET Personnel Security Clearance. * Must have a current U.S. Government Single Scope Background Investigation (SSBI)/ Tier 5 or equivalent. * Must be a U.S. Citizen. * Must be able to maintain required Security Clearance/access approvals. Physical Demands: Must be able to physically and medically perform in a normal office environment. While performing the duties of this job, the employee is required to be able to occasionally stand; walk; sit; use hands and/or fingers to handle, or feel objects, tools or controls; operate office equipment, reach with hands and arms; climb stairs; balance; stoop; kneel; talk or hear; taste or smell. The employee must occasionally lift and or move up to 25 pounds. Travel: Local and/or international travel may be required."
21215,Data Analyst - Remote,"Employer Industry: Healthcare Services

Why Consider This Job Opportunity

 Salary up to $137,800 annually Opportunity for career advancement and growth within the organization Work remotely from anywhere within the U.S. Comprehensive benefits package, incentive and recognition programs, equity stock purchase, and 401k contribution Clear direction on what it takes to succeed in your role and development for other roles

What To Expect (Job Responsibilities)

 Build analytical tools and lead process automation opportunities through various programming languages such as SQL and R Provide consulting services to external clients to understand and improve pharmacy benefit insights Use medical and pharmacy claims data to identify and solve a range of problems within the pharmacy benefit Query from relational databases and summarize information in a meaningful way Prioritize and organize work to meet client deadlines

What Is Required (Qualifications)

 3+ years of analytical experience 3+ years of statistical software experience with SAS, SQL, and R 1+ years of pharmacy claims & enrollment data experience

How To Stand Out (Preferred Qualifications)

 Experience with data visualization tools such as Tableau or Power BI Healthcare informatics and/or medical claims experience Ability to communicate and present data to stakeholders Intermediate level Microsoft Office Suite knowledge (Word, Excel, Outlook)

#HealthcareServices #CareerOpportunity #CompetitivePay #RemoteWork #ProfessionalGrowth

At Talentify, we prioritize candidate privacy and champion equal-opportunity employment. Central to our mission is our partnership with companies that share this commitment. We aim to foster a fair, transparent, and secure hiring environment for all. If you encounter any employer not adhering to these principles, please bring it to our attention immediately.

Talentify is not the EOR (Employer of Record) for this position. Our role in this specific opportunity is to connect outstanding candidates with a top-tier employer.

Talentify helps candidates around the world to discover and stay focused on the jobs they want until they can complete a full application in the hiring company career page/ATS."
21227,Cyber Security Specialist - Data Engineer L4 (Remote),"Employer Industry: Healthcare Services

Why Consider This Job Opportunity

 Competitive salary up to $100,000 Opportunity for career advancement and growth within the organization Work remotely with flexibility Comprehensive benefits package including health insurance and retirement plans Chance to work on cutting-edge technology in the healthcare industry Supportive and collaborative work environment

What To Expect (Job Responsibilities)

 Consult on complex data product projects by analyzing end-to-end data product requirements Build data cleansing and standardization routines from source systems Produce data views and flows for different client demands Translate business data stories into technical breakdown structures Implement production processes to monitor data quality

What Is Required (Qualifications)

 Undergraduate studies in computer science, management information systems, business, statistics, math, or related field 5-8 years of experience with data quality rules and data management 3-5 years of experience in data warehousing and queries Strong problem-solving and communication skills Advanced skills in Python and SQL

How To Stand Out (Preferred Qualifications)

 Experience in healthcare, insurance, or financial services industry Knowledge of Cyber Security Experience with AI/Machine Learning Familiarity with Google Dataflow or Dataproc Experience with sensitive data handling and Collibra

#HealthcareServices #CyberSecurity #DataEngineering #CareerOpportunity #CompetitivePay

At Talentify, we prioritize candidate privacy and champion equal-opportunity employment. Central to our mission is our partnership with companies that share this commitment. We aim to foster a fair, transparent, and secure hiring environment for all. If you encounter any employer not adhering to these principles, please bring it to our attention immediately. Talentify is not the EOR (Employer of Record) for this position. Our role in this specific opportunity is to connect outstanding candidates with a top-tier employer.

Talentify helps candidates around the world to discover and stay focused on the jobs they want until they can complete a full application in the hiring company career page/ATS."
22447,Online Data Analyst,"TELUS International AI-Data Solutions partners with a diverse and vibrant community to help our customers enhance their AI and machine learning models. The work of our AI Community contributes to improving technology and the digital experiences of many people around the world. Our AI Community works in our proprietary AI training platform handling all data types (text, images, audio, video and geo) across 500+ languages and dialects. We offer flexible work-from-home opportunities for people with passion for languages. The jobs are part-time, and there is no fixed schedule. Whoever you are, wherever you come from, come join our global AI community. www.telusinternational.com We are hiring freelance English & Spanish speaking Online Data Analyst’s for a project aimed at improving the content and quality of digital maps, which are used by millions of users globally. The job would suit someone who is detail-oriented, likes doing research and has a good knowledge of national and local geography.  This is a freelance position on a flexible schedule - you can work in your own time whenever work is available. You will be completing research and evaluation tasks in a web-based environment, eg verifying and comparing data, determining the relevance and accuracy of information. You will be provided with guidelines for each task, which need to be followed. The project offers a variety of tasks, and work is paid per task. 
RequirementsFull Professional Proficiency in English & SpanishYou must be living in The United States of America the last 2 consecutive yearsAbility to follow guidelines and do research online using search engines, online maps and website informationYou must have familiarity with current and historical business, media, sport, news, social media and cultural affairs in The United States of AmericaBeing open to work across a diverse set of Task Types (e.g. Maps, News, Audio tasks, Relevance)Applicants must be 18 years or over. 
Working on this project will require you to go through a standard recruitment process (including passing an open book assessment). This is a long-term project and your work will occasionally be subject to quality assurance checks. 
Why Join the TELUS International AI Community? Earn additional income with flexible hours to fit your lifestyleBetter work-life balanceBe your own bossComplimentary Well-Being package encompassing a wealth of well-being resources.Be part of an online community
PaymentRate of pay per task is inclusive of reading task guidelines. Payment will be issued in accordance with the terms of the contributor agreement upon successful completion of tasks. 
What’s next? If this sounds like a role you’d be interested in taking on, please apply below. https://telusinternational.avature.net/en_US/careers/PipelineDetail/Online-Data-Quality-Analyst-US-Spanish-Language/21403"
22509,"Optical Network Documentation and Data Engineer, W","Company:

Cogent Communications is a global, Tier 1 facilities-based ISP, consistently ranked as one of the top five networks in the world and is publicly traded on the NASDAQ Stock Market under the ticker symbol CCOI. Cogent specializes in providing businesses with high speed Internet access and Ethernet transport services. Cogent's facilities-based, all-optical IP network backbone provides IP services in over 216 markets globally. Since its inception, Cogent has unleashed the benefits of IP technology, building one of the largest and highest capacity IP networks in the world. This network enables Cogent to offer large bandwidth connections at highly competitive prices. Cogent also offers superior customer support by virtue of its end-to-end control of service delivery and network monitoring. A full benefits package takes effect within 30 days of employment. Matching 401k and stock options are also included.

Responsibilities:

Develop and update logical network diagrams ( Visio drawings) and maps of metro and long-haul optical fiber networksMaintain database of optical network physical parameters ( span distances, loss, fiber provider, provider ID, etc.)Drive the collection of metro and long haul network dataProvide coordination between field managers, fiber acquisition team, NOC and Network planning as it pertains to documenting and verifying as-built drawings/documentationProvide hands-on technical expertise visually translating textual/geographical network configuration data into network diagrams and GIS coded mapsMaintain proficiency in up-to-date technological developments in Internet/telecommunications infrastructure, DWDM/CWDM optical fiber transport systems, and GIS systems

Qualifications:

Strong proficiency in MS VisioStrong working knowledge of GIS systems, including familiarity with Google Earth ( .kmz), MS Streets & Trips, MapInfo, etc.Demonstrated ability to render optical fiber network drawings and mapsBasic understanding of DWDM/CWDM optical transport technologies and measurement parameters/techniquesStrong problem solving and troubleshooting skillsHigh-energy individual with good interpersonal skills who can work effectively with others, motivate peers, and drive projects to completionWell developed written and verbal communication skills3+ years of optical fiber network experience involving a geographically distributed network including 2+ years field experience is desiredFamiliarity with fiber OSP/telco/ISP operations is strongly desiredBachelor's degree in a technical field or equivalent experience, certifications or training is desiredStrong project management skillsThe ability to travel when necessary

Work Environment:

To best support your success, this is an in-office position five days a week, allowing for focused mentorship, training and personal coaching.

COVID-19 Policy:

Cogent has adopted a mandatory vaccination and booster policy which requires all U.S. employees to be fully vaccinated ( including booster shots when eligible) against COVID-19. Prior to beginning employment, new employees must provide proof of vaccination or apply for and receive an accommodation to be exempt from the policy.

By submitting an application or resume for this position, I understand that is an in-office position and agree to abide Cogent’s mandatory vaccination policy.

To apply for the Optical Network Documentation and Data Engineer position, please submit your resume and cover letter to careers@cogentco.com .

Cogent Communications is an Equal Opportunity Employer.

"
22531,Online Data Analyst,"TELUS International AI-Data Solutions partners with a diverse and vibrant community to help our customers enhance their AI and machine learning models. The work of our AI Community contributes to improving technology and the digital experiences of many people around the world. Our AI Community works in our proprietary AI training platform handling all data types (text, images, audio, video and geo) across 500+ languages and dialects. We offer flexible work-from-home opportunities for people with passion for languages. The jobs are part-time, and there is no fixed schedule. Whoever you are, wherever you come from, come join our global AI community. www.telusinternational.com We are hiring freelance English & Spanish speaking Online Data Analyst’s for a project aimed at improving the content and quality of digital maps, which are used by millions of users globally. The job would suit someone who is detail-oriented, likes doing research and has a good knowledge of national and local geography.  This is a freelance position on a flexible schedule - you can work in your own time whenever work is available. You will be completing research and evaluation tasks in a web-based environment, eg verifying and comparing data, determining the relevance and accuracy of information. You will be provided with guidelines for each task, which need to be followed. The project offers a variety of tasks, and work is paid per task. 
RequirementsFull Professional Proficiency in English & SpanishYou must be living in The United States of America the last 2 consecutive yearsAbility to follow guidelines and do research online using search engines, online maps and website informationYou must have familiarity with current and historical business, media, sport, news, social media and cultural affairs in The United States of AmericaBeing open to work across a diverse set of Task Types (e.g. Maps, News, Audio tasks, Relevance)Applicants must be 18 years or over. 
Working on this project will require you to go through a standard recruitment process (including passing an open book assessment). This is a long-term project and your work will occasionally be subject to quality assurance checks. 
Why Join the TELUS International AI Community? Earn additional income with flexible hours to fit your lifestyleBetter work-life balanceBe your own bossComplimentary Well-Being package encompassing a wealth of well-being resources.Be part of an online community
PaymentRate of pay per task is inclusive of reading task guidelines. Payment will be issued in accordance with the terms of the contributor agreement upon successful completion of tasks. 
What’s next? If this sounds like a role you’d be interested in taking on, please apply below. https://telusinternational.avature.net/en_US/careers/PipelineDetail/Online-Data-Quality-Analyst-US-Spanish-Language/21403"
22681,Online Data Analyst,"TELUS International AI-Data Solutions partners with a diverse and vibrant community to help our customers enhance their AI and machine learning models. The work of our AI Community contributes to improving technology and the digital experiences of many people around the world. Our AI Community works in our proprietary AI training platform handling all data types (text, images, audio, video and geo) across 500+ languages and dialects. We offer flexible work-from-home opportunities for people with passion for languages. The jobs are part-time, and there is no fixed schedule. Whoever you are, wherever you come from, come join our global AI community. www.telusinternational.com We are hiring freelance English & Spanish speaking Online Data Analyst’s for a project aimed at improving the content and quality of digital maps, which are used by millions of users globally. The job would suit someone who is detail-oriented, likes doing research and has a good knowledge of national and local geography.  This is a freelance position on a flexible schedule - you can work in your own time whenever work is available. You will be completing research and evaluation tasks in a web-based environment, eg verifying and comparing data, determining the relevance and accuracy of information. You will be provided with guidelines for each task, which need to be followed. The project offers a variety of tasks, and work is paid per task. 
RequirementsFull Professional Proficiency in English & SpanishYou must be living in The United States of America the last 2 consecutive yearsAbility to follow guidelines and do research online using search engines, online maps and website informationYou must have familiarity with current and historical business, media, sport, news, social media and cultural affairs in The United States of AmericaBeing open to work across a diverse set of Task Types (e.g. Maps, News, Audio tasks, Relevance)Applicants must be 18 years or over. 
Working on this project will require you to go through a standard recruitment process (including passing an open book assessment). This is a long-term project and your work will occasionally be subject to quality assurance checks. 
Why Join the TELUS International AI Community? Earn additional income with flexible hours to fit your lifestyleBetter work-life balanceBe your own bossComplimentary Well-Being package encompassing a wealth of well-being resources.Be part of an online community
PaymentRate of pay per task is inclusive of reading task guidelines. Payment will be issued in accordance with the terms of the contributor agreement upon successful completion of tasks. 
What’s next? If this sounds like a role you’d be interested in taking on, please apply below. https://telusinternational.avature.net/en_US/careers/PipelineDetail/Online-Data-Quality-Analyst-US-Spanish-Language/21403"
22721,Online Data Analyst,"TELUS International AI-Data Solutions partners with a diverse and vibrant community to help our customers enhance their AI and machine learning models. The work of our AI Community contributes to improving technology and the digital experiences of many people around the world. Our AI Community works in our proprietary AI training platform handling all data types (text, images, audio, video and geo) across 500+ languages and dialects. We offer flexible work-from-home opportunities for people with passion for languages. The jobs are part-time, and there is no fixed schedule. Whoever you are, wherever you come from, come join our global AI community. www.telusinternational.com We are hiring freelance English & Spanish speaking Online Data Analyst’s for a project aimed at improving the content and quality of digital maps, which are used by millions of users globally. The job would suit someone who is detail-oriented, likes doing research and has a good knowledge of national and local geography.  This is a freelance position on a flexible schedule - you can work in your own time whenever work is available. You will be completing research and evaluation tasks in a web-based environment, eg verifying and comparing data, determining the relevance and accuracy of information. You will be provided with guidelines for each task, which need to be followed. The project offers a variety of tasks, and work is paid per task. 
RequirementsFull Professional Proficiency in English & SpanishYou must be living in The United States of America the last 2 consecutive yearsAbility to follow guidelines and do research online using search engines, online maps and website informationYou must have familiarity with current and historical business, media, sport, news, social media and cultural affairs in The United States of AmericaBeing open to work across a diverse set of Task Types (e.g. Maps, News, Audio tasks, Relevance)Applicants must be 18 years or over. 
Working on this project will require you to go through a standard recruitment process (including passing an open book assessment). This is a long-term project and your work will occasionally be subject to quality assurance checks. 
Why Join the TELUS International AI Community? Earn additional income with flexible hours to fit your lifestyleBetter work-life balanceBe your own bossComplimentary Well-Being package encompassing a wealth of well-being resources.Be part of an online community
PaymentRate of pay per task is inclusive of reading task guidelines. Payment will be issued in accordance with the terms of the contributor agreement upon successful completion of tasks. 
What’s next? If this sounds like a role you’d be interested in taking on, please apply below. https://telusinternational.avature.net/en_US/careers/PipelineDetail/Online-Data-Quality-Analyst-US-Spanish-Language/21403"
22759,Online Data Analyst,"TELUS International AI-Data Solutions partners with a diverse and vibrant community to help our customers enhance their AI and machine learning models. The work of our AI Community contributes to improving technology and the digital experiences of many people around the world. Our AI Community works in our proprietary AI training platform handling all data types (text, images, audio, video and geo) across 500+ languages and dialects. We offer flexible work-from-home opportunities for people with passion for languages. The jobs are part-time, and there is no fixed schedule. Whoever you are, wherever you come from, come join our global AI community. www.telusinternational.com We are hiring freelance English & Spanish speaking Online Data Analyst’s for a project aimed at improving the content and quality of digital maps, which are used by millions of users globally. The job would suit someone who is detail-oriented, likes doing research and has a good knowledge of national and local geography.  This is a freelance position on a flexible schedule - you can work in your own time whenever work is available. You will be completing research and evaluation tasks in a web-based environment, eg verifying and comparing data, determining the relevance and accuracy of information. You will be provided with guidelines for each task, which need to be followed. The project offers a variety of tasks, and work is paid per task. 
RequirementsFull Professional Proficiency in English & SpanishYou must be living in The United States of America the last 2 consecutive yearsAbility to follow guidelines and do research online using search engines, online maps and website informationYou must have familiarity with current and historical business, media, sport, news, social media and cultural affairs in The United States of AmericaBeing open to work across a diverse set of Task Types (e.g. Maps, News, Audio tasks, Relevance)Applicants must be 18 years or over. 
Working on this project will require you to go through a standard recruitment process (including passing an open book assessment). This is a long-term project and your work will occasionally be subject to quality assurance checks. 
Why Join the TELUS International AI Community? Earn additional income with flexible hours to fit your lifestyleBetter work-life balanceBe your own bossComplimentary Well-Being package encompassing a wealth of well-being resources.Be part of an online community
PaymentRate of pay per task is inclusive of reading task guidelines. Payment will be issued in accordance with the terms of the contributor agreement upon successful completion of tasks. 
What’s next? If this sounds like a role you’d be interested in taking on, please apply below. https://telusinternational.avature.net/en_US/careers/PipelineDetail/Online-Data-Quality-Analyst-US-Spanish-Language/21403"
22772,Online Data Analyst,"TELUS International AI-Data Solutions partners with a diverse and vibrant community to help our customers enhance their AI and machine learning models. The work of our AI Community contributes to improving technology and the digital experiences of many people around the world. Our AI Community works in our proprietary AI training platform handling all data types (text, images, audio, video and geo) across 500+ languages and dialects. We offer flexible work-from-home opportunities for people with passion for languages. The jobs are part-time, and there is no fixed schedule. Whoever you are, wherever you come from, come join our global AI community. www.telusinternational.com We are hiring freelance English & Spanish speaking Online Data Analyst’s for a project aimed at improving the content and quality of digital maps, which are used by millions of users globally. The job would suit someone who is detail-oriented, likes doing research and has a good knowledge of national and local geography.  This is a freelance position on a flexible schedule - you can work in your own time whenever work is available. You will be completing research and evaluation tasks in a web-based environment, eg verifying and comparing data, determining the relevance and accuracy of information. You will be provided with guidelines for each task, which need to be followed. The project offers a variety of tasks, and work is paid per task. 
RequirementsFull Professional Proficiency in English & SpanishYou must be living in The United States of America the last 2 consecutive yearsAbility to follow guidelines and do research online using search engines, online maps and website informationYou must have familiarity with current and historical business, media, sport, news, social media and cultural affairs in The United States of AmericaBeing open to work across a diverse set of Task Types (e.g. Maps, News, Audio tasks, Relevance)Applicants must be 18 years or over. 
Working on this project will require you to go through a standard recruitment process (including passing an open book assessment). This is a long-term project and your work will occasionally be subject to quality assurance checks. 
Why Join the TELUS International AI Community? Earn additional income with flexible hours to fit your lifestyleBetter work-life balanceBe your own bossComplimentary Well-Being package encompassing a wealth of well-being resources.Be part of an online community
PaymentRate of pay per task is inclusive of reading task guidelines. Payment will be issued in accordance with the terms of the contributor agreement upon successful completion of tasks. 
What’s next? If this sounds like a role you’d be interested in taking on, please apply below. https://telusinternational.avature.net/en_US/careers/PipelineDetail/Online-Data-Quality-Analyst-US-Spanish-Language/21403"
22823,Online Data Analyst,"TELUS International AI-Data Solutions partners with a diverse and vibrant community to help our customers enhance their AI and machine learning models. The work of our AI Community contributes to improving technology and the digital experiences of many people around the world. Our AI Community works in our proprietary AI training platform handling all data types (text, images, audio, video and geo) across 500+ languages and dialects. We offer flexible work-from-home opportunities for people with passion for languages. The jobs are part-time, and there is no fixed schedule. Whoever you are, wherever you come from, come join our global AI community. www.telusinternational.com We are hiring freelance English & Spanish speaking Online Data Analyst’s for a project aimed at improving the content and quality of digital maps, which are used by millions of users globally. The job would suit someone who is detail-oriented, likes doing research and has a good knowledge of national and local geography.  This is a freelance position on a flexible schedule - you can work in your own time whenever work is available. You will be completing research and evaluation tasks in a web-based environment, eg verifying and comparing data, determining the relevance and accuracy of information. You will be provided with guidelines for each task, which need to be followed. The project offers a variety of tasks, and work is paid per task. 
RequirementsFull Professional Proficiency in English & SpanishYou must be living in The United States of America the last 2 consecutive yearsAbility to follow guidelines and do research online using search engines, online maps and website informationYou must have familiarity with current and historical business, media, sport, news, social media and cultural affairs in The United States of AmericaBeing open to work across a diverse set of Task Types (e.g. Maps, News, Audio tasks, Relevance)Applicants must be 18 years or over. 
Working on this project will require you to go through a standard recruitment process (including passing an open book assessment). This is a long-term project and your work will occasionally be subject to quality assurance checks. 
Why Join the TELUS International AI Community? Earn additional income with flexible hours to fit your lifestyleBetter work-life balanceBe your own bossComplimentary Well-Being package encompassing a wealth of well-being resources.Be part of an online community
PaymentRate of pay per task is inclusive of reading task guidelines. Payment will be issued in accordance with the terms of the contributor agreement upon successful completion of tasks. 
What’s next? If this sounds like a role you’d be interested in taking on, please apply below. https://telusinternational.avature.net/en_US/careers/PipelineDetail/Online-Data-Quality-Analyst-US-Spanish-Language/21403"
22856,Online Data Analyst,"TELUS International AI-Data Solutions partners with a diverse and vibrant community to help our customers enhance their AI and machine learning models. The work of our AI Community contributes to improving technology and the digital experiences of many people around the world. Our AI Community works in our proprietary AI training platform handling all data types (text, images, audio, video and geo) across 500+ languages and dialects. We offer flexible work-from-home opportunities for people with passion for languages. The jobs are part-time, and there is no fixed schedule. Whoever you are, wherever you come from, come join our global AI community. www.telusinternational.com We are hiring freelance English & Spanish speaking Online Data Analyst’s for a project aimed at improving the content and quality of digital maps, which are used by millions of users globally. The job would suit someone who is detail-oriented, likes doing research and has a good knowledge of national and local geography.  This is a freelance position on a flexible schedule - you can work in your own time whenever work is available. You will be completing research and evaluation tasks in a web-based environment, eg verifying and comparing data, determining the relevance and accuracy of information. You will be provided with guidelines for each task, which need to be followed. The project offers a variety of tasks, and work is paid per task. 
RequirementsFull Professional Proficiency in English & SpanishYou must be living in The United States of America the last 2 consecutive yearsAbility to follow guidelines and do research online using search engines, online maps and website informationYou must have familiarity with current and historical business, media, sport, news, social media and cultural affairs in The United States of AmericaBeing open to work across a diverse set of Task Types (e.g. Maps, News, Audio tasks, Relevance)Applicants must be 18 years or over. 
Working on this project will require you to go through a standard recruitment process (including passing an open book assessment). This is a long-term project and your work will occasionally be subject to quality assurance checks. 
Why Join the TELUS International AI Community? Earn additional income with flexible hours to fit your lifestyleBetter work-life balanceBe your own bossComplimentary Well-Being package encompassing a wealth of well-being resources.Be part of an online community
PaymentRate of pay per task is inclusive of reading task guidelines. Payment will be issued in accordance with the terms of the contributor agreement upon successful completion of tasks. 
What’s next? If this sounds like a role you’d be interested in taking on, please apply below. https://telusinternational.avature.net/en_US/careers/PipelineDetail/Online-Data-Quality-Analyst-US-Spanish-Language/21403"
22859,Online Data Analyst,"TELUS International AI-Data Solutions partners with a diverse and vibrant community to help our customers enhance their AI and machine learning models. The work of our AI Community contributes to improving technology and the digital experiences of many people around the world. Our AI Community works in our proprietary AI training platform handling all data types (text, images, audio, video and geo) across 500+ languages and dialects. We offer flexible work-from-home opportunities for people with passion for languages. The jobs are part-time, and there is no fixed schedule. Whoever you are, wherever you come from, come join our global AI community. www.telusinternational.com We are hiring freelance English & Spanish speaking Online Data Analyst’s for a project aimed at improving the content and quality of digital maps, which are used by millions of users globally. The job would suit someone who is detail-oriented, likes doing research and has a good knowledge of national and local geography.  This is a freelance position on a flexible schedule - you can work in your own time whenever work is available. You will be completing research and evaluation tasks in a web-based environment, eg verifying and comparing data, determining the relevance and accuracy of information. You will be provided with guidelines for each task, which need to be followed. The project offers a variety of tasks, and work is paid per task. 
RequirementsFull Professional Proficiency in English & SpanishYou must be living in The United States of America the last 2 consecutive yearsAbility to follow guidelines and do research online using search engines, online maps and website informationYou must have familiarity with current and historical business, media, sport, news, social media and cultural affairs in The United States of AmericaBeing open to work across a diverse set of Task Types (e.g. Maps, News, Audio tasks, Relevance)Applicants must be 18 years or over. 
Working on this project will require you to go through a standard recruitment process (including passing an open book assessment). This is a long-term project and your work will occasionally be subject to quality assurance checks. 
Why Join the TELUS International AI Community? Earn additional income with flexible hours to fit your lifestyleBetter work-life balanceBe your own bossComplimentary Well-Being package encompassing a wealth of well-being resources.Be part of an online community
PaymentRate of pay per task is inclusive of reading task guidelines. Payment will be issued in accordance with the terms of the contributor agreement upon successful completion of tasks. 
What’s next? If this sounds like a role you’d be interested in taking on, please apply below. https://telusinternational.avature.net/en_US/careers/PipelineDetail/Online-Data-Quality-Analyst-US-Spanish-Language/21403"
